area;transect;tree;common_name;scientific_name;family_name;WSD;DBH;BA;AGB;area_sampled;BA_AS;AGB_AS;type;canopy;light;dead;d_class;Hcom;Htot;RN;RS;RE;RW;date;UTM_Easting;UTM_Northing;;;;;;;;;;;;;;;
JAM_A01;T07;77;SERINGA;Hevea brasiliensis;Euphorbiaceae;0.49;53.6;0.225641751;2.748915562;0.536;0.420973416;5.12857381;O;E;1;A;NA;24.69;38.19;4.5;3.7;3.2;3.1;20111208;522955.1573;8997841.029;;;;;;;;;;;;;;;
JAM_A01;T07;78;ANGELIM AMARGOSO;Parahancornia amapa;Apocynaceae;0.46;39.9;0.125036173;1.057185403;0.399;0.313373867;2.649587476;O;C;2;A;NA;17.71;28.36;1;4;3.3;5.5;20111208;522954.6037;8997840.123;;;;;;;;;;;;;;;
JAM_A01;T07;79;TAXI VERMELHO;Tachigali alba;Fabaceae;0.56;10.9;0.009331316;0.049387241;0.109;0.0856084;0.453093957;O;S;3;A;NA;10.06;14.58;2;0.3;1;0.8;20111208;522955.1295;8997839.63;;;;;;;;;;;;;;;
JAM_A01;T07;80;QUARUBA BRANCA;Vochysia maxima;Vochysiaceae;0.49;8.5;0.005674502;0.024625149;0.085;0.066758844;0.289707638;O;S;3;A;NA;10.04;13.67;1.5;1.4;1.3;2.4;20111208;522955.8893;8997836.541;;;;;;;;;;;;;;;
JAM_A01;T07;81;ABIURANA;Pouteria gongrijpii;Sapotaceae;0.80;9.2;0.00664761;0.04466099;0.092;0.072256631;0.485445548;O;S;3;A;NA;8.95;12.97;1.4;1.2;1.6;1.5;20111208;522955.3626;8997831.238;;;;;;;;;;;;;;;
JAM_A01;T07;82;CASCA SECA;Licania canescens;Chrysobalanaceae;0.88;81;0.515299735;7.734114487;0.81;0.636172512;9.54828949;O;S;2;A;NA;16.66;26.32;1.7;2.1;1.8;2.2;20111208;522955.7986;8997830.544;;;;;;;;;;;;;;;
JAM_A01;T07;83;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;30.9;0.074990602;0.781743816;0.309;0.242688032;2.529915263;O;C;2;A;NA;16.18;22.73;3.7;3.4;3.5;3.3;20111208;522960.0725;8997831.098;;;;;;;;;;;;;;;
JAM_A01;T07;84;MORTA;NI;NI;0.7;14.6;0.016741547;0.09376205;0.146;0.114668132;0.642205821;O;NA;NA;D;2;NA;17.42;NA;NA;NA;NA;20111208;522956.3273;8997837.746;;;;;;;;;;;;;;;
JAM_A01;T07;85;UCUUBA;Virola melinoni;Myristicaceae;0.48;15.9;0.019855651;0.11677504;0.159;0.124878308;0.734434214;O;S;2;A;NA;13.67;19.06;2.3;2.2;1.2;2.3;20111208;522956.9642;8997852.544;;;;;;;;;;;;;;;
JAM_A01;T07;86;PEDRA UMI;NI;NI;0.62;17.1;0.022965828;0.161160976;0.171;0.134303086;0.942461848;O;S;3;A;NA;10.69;17.46;1.3;1;2.8;0.3;20111208;522954.8496;8997868.307;;;;;;;;;;;;;;;
JAM_A01;T07;87;MAMONINI;NI;NI;0.62;18.5;0.026880252;0.221121235;0.185;0.14529866;1.195249919;O;S;3;A;NA;10.22;20.47;2.9;2.1;2.8;1.3;20111208;522955.3671;8997869.912;;;;;;;;;;;;;;;
JAM_A01;T07;88;CEDRORANA;Cedrelinga cateniformis;Fabaceae;0.50;100;0.785398163;12.66799011;1;0.785398163;12.66799011;O;E;1;A;NA;34.85;49.40;5.6;4.3;5.6;6.8;20111208;522962.1583;8997872.096;;;;;;;;;;;;;;;
JAM_A01;T07;89;UCUUBA VERMELHA;Virola mollissima;Myristicaceae;0.48;45.5;0.162597055;1.981662404;0.455;0.357356164;4.355301986;O;E;1;A;NA;30.53;39.49;4.2;2.6;3.1;2.8;20111208;522955.3041;8997875.008;;;;;;;;;;;;;;;
JAM_A01;T07;90;UCUUBA PRETA;Virola michelii;Myristicaceae;0.47;24.9;0.048695472;0.392212545;0.249;0.195564143;1.575150783;O;S;2;A;NA;18.51;26.44;2;1.5;1.6;1.6;20111208;522953.8658;8997893.177;;;;;;;;;;;;;;;
JAM_A01;T07;91;MUIRACATIARA;Astronium gracile;Anacardiaceae;0.73;90;0.636172512;13.76493093;0.9;0.706858347;15.2943677;O;E;1;A;NA;21.91;45.73;7.8;2.5;4;4.2;20111208;522961.5827;8997894.873;;;;;;;;;;;;;;;
JAM_A01;T07;92;INHARE;Helicostylis sp.;Moraceae;0.65;49.8;0.194781886;2.05509621;0.498;0.391128285;4.126699217;O;C;2;A;NA;14.07;24.95;2.4;2.1;2.7;2.5;20111208;522957.2696;8997897.017;;;;;;;;;;;;;;;
JAM_A01;T07;93;INGA BRANCO;Inga thibaudiana;Fabaceae;0.58;14.5;0.016512996;0.128251556;0.145;0.113882734;0.884493487;O;S;3;A;NA;14.82;20.79;2.7;0;0.5;2.4;20111208;522952.9873;8997908.256;;;;;;;;;;;;;;;
JAM_A01;T07;94;BREU BRANCO;Protium paniculatum;Burseraceae;0.49;7.3;0.004185387;0.013063759;0.073;0.057334066;0.178955601;O;S;3;A;NA;7.22;9.83;1.1;1;1.2;1;20111208;522952.3986;8997913.845;;;;;;;;;;;;;;;
JAM_A01;T07;95;MORTA;NI;NI;0.45;15.8;0.01960668;0.034408054;0.158;0.12409291;0.217772495;O;NA;NA;D;4;NA;7.24;NA;NA;NA;NA;20111208;522952.6387;8997916.946;;;;;;;;;;;;;;;
