Area,trans,tree,common.name,scientific.name,family.name,DBH.09,type.09,canopy.09,light.09,Dead.09,D.class.09,Hcom.09,Htot.09,RN.09,RS.09,RE.09,RW.09,DBH.11,type.11,canopy.11,light.11,Dead.11,D.class.11,X.11,Y.11,Hcom.11,Htot.11,RN.11,RS.11,RE.11,RW.11,UTM.Easting,UTM.Northing
DUC_A01,T02,1384,urucurana,Sloanea guianensis,Elaeocarpaceae,12.3,O,S,3,FALSE,NA,13.01,15.31,1.85,1.6,2.9,0.65,12.5,O,S,2,FALSE,NA,-0.9,248,10.02,17.57,1.6,1.6,2,1.8,175078.3536,9674625.979
DUC_A01,T02,1385,arataciu,Sagotia racemosa,Euphorbiaceae,10,O,S,3,FALSE,NA,9.98,12.33,1.75,1.7,1.85,0.65,10,O,S,3,FALSE,NA,-0.1,247.4,7.47,12.6,2.4,1.5,2,1.2,175079.2453,9674625.55
DUC_A01,T02,1386,mato,NA,NA,18.7,O,C,2,FALSE,NA,15.03,19.03,3.4,2.35,2.9,1,19.1,O,S,2,FALSE,NA,-0.8,246.3,18.78,21.32,1.6,1.4,1.7,2,175078.6614,9674624.852
DUC_A01,T02,1387,pau branco,Rinorea racemosa,Violaceae,9.9,O,S,3,FALSE,NA,8.93,11.42,1.6,3.4,3.7,0.1,12.9,O,S,3,FALSE,NA,-0.6,243.9,7.48,12.26,1.4,2.1,2.3,1.3,175079.2768,9674622.596
DUC_A01,T02,1388,mato,NA,NA,48.5,O,C,1,FALSE,NA,19.49,22.78,-3.2,8.7,3.5,2.5,49.4,O,D,1,FALSE,NA,-1.7,233.3,17.83,23.16,1.4,7.4,2.1,3.4,175079.9743,9674612.661
DUC_A01,T02,1389,matamata branco,Eschweilera coriacea,Lecythidaceae,40.2,O,C,2,FALSE,NA,16.66,21.29,6.85,3.45,5.26,2.75,40.2,O,S,2,FALSE,NA,-1.2,226.1,15.07,25.22,7.7,4.6,6,4,175081.7223,9674605.877
DUC_A01,T02,1390,macucu,Licania guianensis,Chrysobalanaceae,12.6,O,S,3,FALSE,NA,14.73,18.44,0.75,1.5,2.1,1.3,12.8,O,S,2,FALSE,NA,-0.4,222.4,10.42,18.33,1.4,2.7,1.6,1.8,175083.1373,9674602.584
DUC_A01,T02,1391,arataciu,Sagotia racemosa,Euphorbiaceae,13.6,O,S,2,FALSE,NA,7.23,12.53,1.75,4.3,4.25,2.85,13.7,O,S,3,FALSE,NA,-0.9,214.4,7.45,12.39,2.6,3.8,2.7,3.5,175084.0063,9674595.047
DUC_A01,T02,1392,envira branca,Rollinia exsucca,Annonaceae,12.9,O,S,2,FALSE,NA,9.7,14.3,4.2,2.35,3.1,1.95,13,O,S,2,FALSE,NA,-0.4,202.2,8.3,12.13,3.5,2.3,2.7,2.8,175086.5917,9674583.681
DUC_A01,T02,1393,angelim rajado,Zygia racemosa,Fabaceae,9.3,O,S,3,FALSE,NA,11.26,16.03,1.05,2.4,1.3,1,9.6,O,S,2,FALSE,NA,-0.9,200.5,9.94,15.56,1.6,1.1,1.3,1.8,175086.4139,9674581.872
